X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
156,2.08,-26.3,156,2,5,-5.89,0.104,327,10.6,0.000598,94.5,5.125,61.3,94.5,5,5,4.02,0.0828,326,5.71,2.63E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1445,58.3,11.81,-1445,58.3,5,20.3,1,324,117,0.194,17,1,2,3,Prep
155,2.05,-32.5,155,2,5,-5.83,0.0927,327,10.4,0.000568,94.5,4.85,-57.5,94.5,5,5,5.39,0.0989,326,7.18,4.73E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1435,58.5,45.1,-1435,58.3,5,15.2,0.787,325,113,0.15,17,1,64,3,Prep
155,2.25,67.5,155,2,5,-6.45,0.0974,327,10.1,0.000601,94.5,4.85,-63.7,94.5,5,5,5.67,0.0979,326,6.37,1.56E-05,33.5,5.025,11.25,33.5,5,5,0,0,0,0,-1435,58.4,61.4,-1435,58.3,5,19.7,0.897,319,115,0.171,17,1,64,3,Prep
155,1.92,-1.25,155,2,5,-3.89,0.0735,327,9.02,0.000454,94.5,5.1,55,94.5,5,5,4.01,0.0841,326,5.57,-3.94E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1425,58.4,23.3,-1425,58.3,4.999999046,15.7,0.857,324,119,0.164,17,1,64,3,Prep
154,1.85,-1.25,154,2,5,-3.81,0.0735,327,8.67,0.000456,94.5,5.1,48.8,94.5,5,5,3.46,0.0841,326,6.47,-1.33E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1425,58.3,19.6,-1425,58.3,5,22.9,0.816,324,117,0.155,17,1,64,3,Prep
154,1.87,30,154,2,5,-4.16,0.0738,327,8.79,0.00047,94.5,4.875,-51.3,94.5,5,5,5.39,0.0992,326,6.59,3.14E-05,33.5,5,11.25,33.5,5,5,0,0,0,0,-1415,58.3,40.4,-1415,58.3,5,23.2,0.899,319,118,0.171,17,1,64,3,Prep
154,1.92,23.8,154,2,5,-4.86,0.0846,327,8.33,0.000548,94.5,4.9,-45,94.5,5,5,5.12,0.0974,326,6.27,0,33.5,5,5,33.5,5,5,0,0,0,0,-1405,58.3,-32.5,-1405,58.3,5,21.1,1.07,320,117,0.206,17,1,64,3,Prep
154,1.92,-20,153,2,5,-5.76,0.104,327,10.2,0.000719,94.5,4.875,-51.3,94.5,5,5,5.67,0.101,326,5.61,-1.60E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1405,58.4,-1.44,-1405,58.3,5,19.7,0.801,321,115,0.155,17,1,64,3,Prep
153,2.08,11.25,153,2,5,-4.26,0.106,327,13.7,0.000677,94.5,4.9,-38.8,94.5,5,5,5.68,0.102,326,6.03,4.85E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1395,58.3,-9.9,-1395,58.3,5.000000954,24.2,0.966,320,116,0.186,17,1,64,3,Prep
153,2.1,5,153,2,5,-6.65,0.111,327,9.55,0.000748,94.5,4.9,-32.5,94.5,5,5,5.68,0.099,326,5.82,1.59E-05,33.5,5,5,33.5,5,5,0,0,0,0,-1395,58.4,27.8,-1395,58.3,4.999999046,17.4,0.866,319,117,0.167,17,1,64,3,Prep
157,8.15,5,157,8,5,4.23,0.0633,327,6.96,0.000399,96.6,4.975,-7.5,96.6,5,5,-3.7,0.074,326,7.21,-2.36E-05,32.5,4.975,-7.5,32.5,5,5,0,0,0,0,-615,58.2,-34.6,-614,58.3,5,27.6,0.94,324,118,0.179,17,1,2,3,Prep
158,8,-45,158,8,5,3.2,0.057,327,8.07,0.000367,96.6,5.05,30,96.6,5,5,-5.39,0.0905,326,4.9,4.32E-05,32.5,5,11.25,32.5,5,5,0,0,0,0,-609,58.4,12.69,-609,58.3,5,16.6,0.804,324,118,0.155,17,1,122,3,Prep
158,8.15,48.8,158,8,5,5.6,0.0983,327,9,0.000613,96.6,5,5,96.6,5,5,-4.05,0.0746,326,6.53,-4.75E-05,32.5,5,-1.25,32.5,5,5,0,0,0,0,-604,58.3,17.6,-604,58.3,5.000000954,22.3,0.897,324,117,0.174,17,1,122,3,Prep
158,8.03,23.8,158,8,5,6,0.0866,327,8.09,0.00055,96.6,4.975,-7.5,96.6,5,5,-3.7,0.0741,326,7.19,-1.18E-05,32.5,5,-1.25,32.5,5,5,0,0,0,0,-599,58.3,-25.1,-598,58.3,4.999999046,21.3,0.923,324,115,0.178,17,1,122,3,Prep
158,8.03,48.8,158,8,5,5.58,0.0998,327,10,0.00062,96.6,4.975,-7.5,96.6,5,5,-3.94,0.0756,326,6.55,-3.54E-05,32.5,5,5,32.5,5,5,0,0,0,0,-593,58.5,65.9,-593,58.3,5,12.3,0.739,325,116,0.139,17,1,122,3,Prep
159,7.92,36.3,159,8,5,3.62,0.0712,327,10.5,0.000398,96.6,4.975,-7.5,96.6,5,5,-4.05,0.0741,326,6.58,-2.36E-05,32.5,4.975,-7.5,32.5,5,5,0,0,0,0,-588,58.2,-24.1,-588,58.3,5,25.6,1.03,324,118,0.198,17,1,122,3,Prep
159,7.92,5,159,8,5,7.23,0.0757,327,4.84,0.000461,96.6,4.975,-7.5,96.6,5,5,-3.89,0.0757,326,7.07,0,32.5,5,5,32.5,5,5,0,0,0,0,-583,58.3,-3.5,-582,58.3,5,21.3,0.915,324,117,0.177,17,1,122,3,Prep
159,7.8,-45,159,8,5,3.88,0.071,327,9.33,0.000433,96.6,5.05,23.8,96.6,5,5,-5.35,0.0914,326,5.33,1.45E-05,32.5,5.025,17.5,32.5,5,5,0,0,0,0,-577,58.3,-11,-577,58.3,5,23.3,0.904,320,118,0.175,17,1,122,3,Prep
160,8.13,11.25,160,8,5,-1.46,0.0682,327,16.2,0.000433,96.6,4.95,-13.8,96.6,5,5,-3.55,0.0725,326,7.39,0,32.5,5,5,32.5,5,5,0,0,0,0,-572,58.2,-57.4,-572,58.3,4.999999046,24.5,1.02,323,116,0.197,17,1,122,3,Prep
160,8.1,-32.5,160,8,5,3.8,0.0668,327,8.7,0.000429,96.6,4.975,-7.5,96.6,5,5,-3.75,0.0776,326,6.99,-1.20E-05,32.5,4.975,-7.5,32.5,5,5,0,0,0,0,-567,58.4,56.2,-566,58.3,5,17.8,0.822,324,118,0.155,17,1,122,3,Prep
146,5.175,86.2,146,5,5,-3.93,0.0707,327,5.56,2.17E-05,82.1,7.85,-45,82.1,8,5,5.59,0.0847,326,9.14,0.000485,32.5,5,11.25,32.5,5,5,0,0,0,0,303,58.3,-11.5,303,58.3,5,24.7,0.919,321,115,0.177,17,1,2,3,Prep
146,5.125,73.7,146,5,5,-4.14,0.0651,327,4.87,1.99E-05,82.4,8.03,-38.8,82.4,8,5,5.22,0.0547,326,5.94,0.00031,32.5,4.975,-1.25,32.5,5,5,0,0,0,0,308,58.4,47.4,309,58.3,5.000000954,21,0.853,320,116,0.165,17,1,130,3,Prep
146,5.15,80,146,5,5,-3.59,0.0665,327,5.43,1.03E-05,82.7,8.08,-45,82.7,8,5,5.21,0.0942,326,9.23,0.000613,32.5,5,5,32.5,5,5,0,0,0,0,314,58.3,-23.4,314,58.3,4.999999046,15.9,0.916,321,117,0.177,17,1,130,3,Prep
