X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
202,4,4,202,4,4,-0.284,2.79E-19,329,0,0,162,4,4,162,4,4,-0.0839,2.68E-19,333,0,-1.47E-06,123,4,4,123,4,4,0,0,0,0,-1156,4.001,4.687,-1156,4,4,-1.86,0,332,0,0,16,1,2,50,Prep
202,4,4,202,4,4,-0.284,2.79E-19,329,0,0,162,4,4,162,4,4,-0.0839,2.68E-19,333,0,-1.47E-06,123,4,4,123,4,4,0,0,0,0,-1156,4.001,4.687,-1156,4,4,-1.86,0,332,0,0,16,0,0,50,Prep
202,4,4,202,4,4,1.17,2.78E-19,325,0,9.16E-07,162,4,4,162,4,4,-0.709,2.69E-19,327,0,6.77E-07,123,4,4,123,4,4,0,0,0,0,909,4.00025,4.875,909,4,4,-0.176,2.78E-19,324,0,-8.59E-07,16,0,0,50,Prep
202,4,4,202,4,4,-0.23,2.79E-19,329,0,-2.30E-07,162,4,4,162,4,4,-1.34,2.68E-19,333,0,0,123,3.975,-2.25,123,4,4,0,0,0,0,-1156,4.00075,4.188,-1156,4,4,-1.17,0,332,0,-6.29E-06,16,4,0,50,Prep
202,4,4,202,4,4,-0.23,2.79E-19,329,0,-2.30E-07,162,4,4,162,4,4,-1.34,2.68E-19,333,0,0,123,3.975,-2.25,123,4,4,0,0,0,0,-1156,4.00075,4.188,-1156,4,4,-1.17,0,332,0,-6.29E-06,16,0,0,50,Prep
202,4,4,202,4,4,-2.45,2.78E-19,325,0,0,162,4,4,162,4,4,-0.0701,2.69E-19,327,0,2.82E-09,123,4,4,123,4,4,0,0,0,0,909,4,4,909,4,4,-0.0861,2.78E-19,324,0,1.66E-06,16,0,0,50,Prep
202,4,4,202,4,4,-0.638,2.79E-19,328,0,-7.87E-07,162,4,4,162,4,4,-0.723,2.68E-19,332,0,3.70E-07,123,4,4,123,4,4,0,0,0,0,-1156,4,4,-1156,4,4,-1.58,0,331,0,0,16,1,2,50,Prep
202,4,4,202,4,4,-0.638,2.79E-19,328,0,-7.87E-07,162,4,4,162,4,4,-0.723,2.68E-19,332,0,3.70E-07,123,4,4,123,4,4,0,0,0,0,-1156,4,4,-1156,4,4,-1.58,0,331,0,0,16,0,0,50,Prep
202,4,4,202,4,4,-0.711,2.78E-19,325,0,1.72E-06,162,4,4,162,4,4,-0.23,2.69E-19,326,0,0,123,4,4,123,4,4,0,0,0,0,909,4.001,4,909,4,4,0.207,2.78E-19,323,0,1.18E-06,16,0,0,50,Prep
202,4,4,202,4,4,-0.584,2.79E-19,328,0,-5.37E-07,162,4,4,162,4,4,-0.0839,2.68E-19,332,0,0,123,4,10.25,123,4,4,0,0,0,0,-1156,4,4.188,-1156,4,4,-1.23,0,331,0,-7.26E-06,16,4,0,50,Prep
