X_ActualPosition,X_ActualVelocity,X_ActualAcceleration,X_SetPosition,X_SetVelocity,X_SetAcceleration,X_CurrentFeedback,X_DCBusVoltage,X_OutputCurrent,X_OutputVoltage,X_OutputPower,Y_ActualPosition,Y_ActualVelocity,Y_ActualAcceleration,Y_SetPosition,Y_SetVelocity,Y_SetAcceleration,Y_CurrentFeedback,Y_DCBusVoltage,Y_OutputCurrent,Y_OutputVoltage,Y_OutputPower,Z_ActualPosition,Z_ActualVelocity,Z_ActualAcceleration,Z_SetPosition,Z_SetVelocity,Z_SetAcceleration,Z_CurrentFeedback,Z_DCBusVoltage,Z_OutputCurrent,Z_OutputVoltage,S_ActualPosition,S_ActualVelocity,S_ActualAcceleration,S_SetPosition,S_SetVelocity,S_SetAcceleration,S_CurrentFeedback,S_DCBusVoltage,S_OutputCurrent,S_OutputVoltage,S_OutputPower,S_SystemInertia,M_CURRENT_PROGRAM_NUMBER,M_sequence_number,M_CURRENT_FEEDRATE,Machining_Process
151,-2.625,106.4,151,-2.155,52.1,5.77,0.107,324,13,0.000896,78,-7.0625,-309.625,77.95,-6.7,14.35,-2.14,0.147,323,27.9,0.00435,31.7,3.0125,9.25,31.7,3,3,0,0,0,0,300.5,56.35,38.52,301,56.3,2.999999046,22.9,0.895,320,119,0.172,15,1,2,20,Prep
151,1.75,-59.5,151,2.25,40.5,7.68,0.132,324,25.9,0.00349,77.1,-4.7,-18.9,77.05,-4.4,36.65,-5.68,0.125,323,28,0.00413,31.7,2.975,-9.5,31.7,3,3,0,0,0,0,306,56.3,-13.9,306,56.3,3,25.7,0.971,320,117,0.186,15,1,18,20,Prep
151,4.85,56.1,151,4.95,19.6,6.02,0.103,324,30.1,0.004,76.55,-0.45,72,76.55,-0.2,50.55,-6.79,0.109,323,17.6,0.00157,31.7,2.9625,-15.75,31.7,3,3,0,0,0,0,311,56.35,-0.4,311.5,56.3,3,19.5,1.09,318,117,0.208,15,1,18,20,Prep
151,-1.21,779.5,151,2.5,503,24.4,0.314,325,26.1,0.00412,76.45,3.0375,24.9,76.45,3,3,-3.68,0.0629,323,7.51,-9.82E-06,31.7,3,6.125,31.7,3,3,0,0,0,0,316.5,56.25,-14.97,317,56.3,3,27.2,1.05,320,118,0.202,15,1,18,20,Prep
151,5.6,12.375,151,5.5,3,5.07,0.12,324,34.9,0.00505,76.45,3.025,18.65,76.45,3,3,-1.94,0.0515,324,7.65,-7.71E-06,31.7,2.975,-9.5,31.7,3,3,0,0,0,0,322,56.35,3.65,322,56.3,3,17,0.886,319,116,0.17,15,1,19,20,Prep
151.5,5.45,24.9,151.5,5.5,3,7.59,0.112,324,33,0.00463,76.45,3.025,15.5,76.45,3,3,-3.04,0.0515,323,6.83,-1.57E-05,31.7,2.975,-6.375,31.7,3,3,0,0,0,0,327,56.3,-0.5,327.5,56.3,2.999999523,23.6,0.992,319,119,0.191,15,1,19,20,Prep
151.5,5.7,46.725,151.5,5.75,13.85,6.73,0.11,324,33.3,0.00451,76.45,4.6,46.8,76.5,4.975,44.55,-2.72,0.0507,323,6.82,-2.25E-05,31.7,3.025,15.5,31.7,3,3,0,0,0,0,332.5,56.25,-33.6,333,56.3,3,28.1,1.12,319,118,0.214,15,1,19,20,Prep
152,7.7,-56.25,152,7.7,26.35,5.93,0.101,324,34.4,0.00405,76.8,9.46,103.25,76.85,10.06,82.6,7.21,0.125,323,10.4,0.000707,31.7,2.9625,-15.75,31.7,3,3,0,0,0,0,338,56.35,3.55,338,56.3,3,17.4,0.853,320,117,0.163,15,1,19,20,Prep
153,9.685,-16,153,9.815,16.3,6.68,0.102,324,27.2,0.00343,77.85,15.8,-3.25,77.95,16.4,50.85,11.3,0.189,323,23,0.00457,31.7,3.0125,12.375,31.7,3,3,0,0,0,0,343,56.2,-49.5,344,56.3,3,28.8,1.09,319,119,0.209,15,1,20,20,Prep
153,7.4725,-122,153,7.275,-42.35,5.71,0.0861,324,18.8,0.00161,79.05,19.6,93.85,79.2,19.55,25,6.02,0.126,323,29.7,0.00465,31.7,3,3,31.7,3,3,0,0,0,0,348.5,56.4,8.15,349,56.3,3.000000954,19.3,0.934,319,117,0.18,15,1,20,20,Prep
